"Tabela 3419 - Índices de volume e de receita nominal de vendas no comércio varejista ampliado, por tipos de índice e atividades (2014 = 100)"
"Variável - Índice de volume de vendas no comércio varejista ampliado (Número-índice)"
"Brasil e Unidade da Federação","Mês","Atividades x Tipos de índice"
"Brasil e Unidade da Federação","Mês","Combustíveis e lubrificantes","Hipermercados, supermercados, produtos alimentícios, bebidas e fumo","Hipermercados e supermercados","Tecidos, vestuário e calçados","Móveis e eletrodomésticos","Móveis","Eletrodomésticos","Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos","Livros, jornais, revistas e papelaria","Equipamentos e materiais para escritório, informática e comunicação","Outros artigos de uso pessoal e doméstico","Veículos, motocicletas, partes e peças","Material de construção"
"Brasil e Unidade da Federação","Mês","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)"
"Brasil","janeiro 2000","79.8","54.3","53.6","47.2","24.9","-","-","-","-","-","-","49.9","-"
"Brasil","fevereiro 2000","78.1","53.9","53.1","51.7","24.0","-","-","-","-","-","-","58.4","-"
"Brasil","março 2000","80.5","57.2","56.7","54.3","25.4","-","-","-","-","-","-","56.3","-"
"Brasil","abril 2000","80.1","58.3","57.7","59.6","24.3","-","-","-","-","-","-","52.9","-"
"Brasil","maio 2000","79.5","55.8","55.2","73.6","29.4","-","-","-","-","-","-","59.1","-"
"Brasil","junho 2000","79.3","55.8","55.3","68.9","25.7","-","-","-","-","-","-","54.1","-"
"Brasil","julho 2000","79.9","57.9","57.5","67.3","28.4","-","-","-","-","-","-","59.4","-"
"Brasil","agosto 2000","76.2","57.1","56.7","63.1","29.3","-","-","-","-","-","-","63.9","-"
"Brasil","setembro 2000","75.3","57.4","57.1","57.1","27.2","-","-","-","-","-","-","56.2","-"
"Brasil","outubro 2000","77.5","56.8","56.3","59.7","28.7","-","-","-","-","-","-","61.3","-"
"Brasil","novembro 2000","73.6","57.1","56.4","68.2","30.5","-","-","-","-","-","-","61.0","-"
"Brasil","dezembro 2000","77.6","75.6","75.4","127.5","46.5","-","-","-","-","-","-","59.5","-"
"Brasil","janeiro 2001","73.4","56.1","55.3","51.0","27.7","-","-","-","-","-","-","60.8","-"
"Brasil","fevereiro 2001","68.5","54.3","53.9","51.2","23.8","-","-","-","-","-","-","53.0","-"
