Brasil e Unidade da Federação;Atividades;Mês;Índice base fixa (2014=100)
Brasil;Combustíveis e lubrificantes;01/01/2000;79.8
Brasil;Combustíveis e lubrificantes;01/02/2000;78.1
Brasil;Combustíveis e lubrificantes;01/03/2000;80.5
Brasil;Combustíveis e lubrificantes;01/04/2000;80.1
Brasil;Combustíveis e lubrificantes;01/05/2000;79.5
Brasil;Combustíveis e lubrificantes;01/06/2000;79.3
Brasil;Combustíveis e lubrificantes;01/07/2000;79.9
Brasil;Combustíveis e lubrificantes;01/08/2000;76.2
Brasil;Combustíveis e lubrificantes;01/09/2000;75.3
Brasil;Combustíveis e lubrificantes;01/10/2000;77.5
Brasil;Combustíveis e lubrificantes;01/11/2000;73.6
Brasil;Combustíveis e lubrificantes;01/12/2000;77.6
Brasil;Combustíveis e lubrificantes;01/01/2001;73.4
Brasil;Combustíveis e lubrificantes;01/02/2001;68.5
Brasil;Combustíveis e lubrificantes;01/03/2001;75.7
Brasil;Combustíveis e lubrificantes;01/04/2001;74.9
Brasil;Combustíveis e lubrificantes;01/05/2001;77.5
Brasil;Combustíveis e lubrificantes;01/06/2001;76.9
Brasil;Combustíveis e lubrificantes;01/07/2001;78.1
Brasil;Combustíveis e lubrificantes;01/08/2001;79.1
Brasil;Combustíveis e lubrificantes;01/09/2001;75.8
Brasil;Combustíveis e lubrificantes;01/10/2001;78.1
Brasil;Combustíveis e lubrificantes;01/11/2001;75.2
Brasil;Combustíveis e lubrificantes;01/12/2001;77.5
Brasil;Combustíveis e lubrificantes;01/01/2002;76.9
Brasil;Combustíveis e lubrificantes;01/02/2002;72.7
Brasil;Combustíveis e lubrificantes;01/03/2002;79.9
Brasil;Combustíveis e lubrificantes;01/04/2002;78.4
Brasil;Combustíveis e lubrificantes;01/05/2002;79.1
Brasil;Combustíveis e lubrificantes;01/06/2002;75.3
Brasil;Combustíveis e lubrificantes;01/07/2002;83.8
Brasil;Combustíveis e lubrificantes;01/08/2002;87.5
Brasil;Combustíveis e lubrificantes;01/09/2002;84.1
Brasil;Combustíveis e lubrificantes;01/10/2002;85.3
Brasil;Combustíveis e lubrificantes;01/11/2002;78.5
Brasil;Combustíveis e lubrificantes;01/12/2002;81.3
Brasil;Combustíveis e lubrificantes;01/01/2003;73.4
Brasil;Combustíveis e lubrificantes;01/02/2003;68.1
Brasil;Combustíveis e lubrificantes;01/03/2003;73.4
Brasil;Combustíveis e lubrificantes;01/04/2003;73.3
Brasil;Combustíveis e lubrificantes;01/05/2003;77.4
Brasil;Combustíveis e lubrificantes;01/06/2003;74.4
Brasil;Combustíveis e lubrificantes;01/07/2003;82.2
Brasil;Combustíveis e lubrificantes;01/08/2003;80.0
Brasil;Combustíveis e lubrificantes;01/09/2003;77.5
Brasil;Combustíveis e lubrificantes;01/10/2003;81.6
Brasil;Combustíveis e lubrificantes;01/11/2003;79.1
Brasil;Combustíveis e lubrificantes;01/12/2003;81.0
Brasil;Combustíveis e lubrificantes;01/01/2004;77.1
Brasil;Combustíveis e lubrificantes;01/02/2004;72.1
Brasil;Combustíveis e lubrificantes;01/03/2004;81.9
Brasil;Combustíveis e lubrificantes;01/04/2004;79.9
Brasil;Combustíveis e lubrificantes;01/05/2004;80.5
Brasil;Combustíveis e lubrificantes;01/06/2004;80.2
Brasil;Combustíveis e lubrificantes;01/07/2004;84.9
Brasil;Combustíveis e lubrificantes;01/08/2004;81.3
Brasil;Combustíveis e lubrificantes;01/09/2004;80.7
Brasil;Combustíveis e lubrificantes;01/10/2004;82.6
Brasil;Combustíveis e lubrificantes;01/11/2004;79.1
Brasil;Combustíveis e lubrificantes;01/12/2004;83.5
Brasil;Combustíveis e lubrificantes;01/01/2005;76.3
Brasil;Combustíveis e lubrificantes;01/02/2005;67.7
Brasil;Combustíveis e lubrificantes;01/03/2005;74.8
Brasil;Combustíveis e lubrificantes;01/04/2005;72.1
Brasil;Combustíveis e lubrificantes;01/05/2005;74.9
Brasil;Combustíveis e lubrificantes;01/06/2005;75.1
Brasil;Combustíveis e lubrificantes;01/07/2005;76.3
Brasil;Combustíveis e lubrificantes;01/08/2005;76.3
Brasil;Combustíveis e lubrificantes;01/09/2005;74.7
Brasil;Combustíveis e lubrificantes;01/10/2005;75.2
Brasil;Combustíveis e lubrificantes;01/11/2005;72.3
Brasil;Combustíveis e lubrificantes;01/12/2005;77.4
Brasil;Combustíveis e lubrificantes;01/01/2006;69.7
Brasil;Combustíveis e lubrificantes;01/02/2006;63.1
Brasil;Combustíveis e lubrificantes;01/03/2006;67.8
Brasil;Combustíveis e lubrificantes;01/04/2006;64.2
Brasil;Combustíveis e lubrificantes;01/05/2006;66.1
Brasil;Combustíveis e lubrificantes;01/06/2006;65.6
Brasil;Combustíveis e lubrificantes;01/07/2006;68.6
Brasil;Combustíveis e lubrificantes;01/08/2006;71.5
Brasil;Combustíveis e lubrificantes;01/09/2006;69.7
Brasil;Combustíveis e lubrificantes;01/10/2006;70.9
Brasil;Combustíveis e lubrificantes;01/11/2006;70.1
Brasil;Combustíveis e lubrificantes;01/12/2006;73.9
Brasil;Combustíveis e lubrificantes;01/01/2007;71.5
Brasil;Combustíveis e lubrificantes;01/02/2007;66.4
Brasil;Combustíveis e lubrificantes;01/03/2007;72.5
Brasil;Combustíveis e lubrificantes;01/04/2007;68.6
Brasil;Combustíveis e lubrificantes;01/05/2007;69.9
Brasil;Combustíveis e lubrificantes;01/06/2007;69.5
Brasil;Combustíveis e lubrificantes;01/07/2007;71.9
Brasil;Combustíveis e lubrificantes;01/08/2007;74.4
Brasil;Combustíveis e lubrificantes;01/09/2007;72.3
Brasil;Combustíveis e lubrificantes;01/10/2007;75.1
Brasil;Combustíveis e lubrificantes;01/11/2007;74.6
Brasil;Combustíveis e lubrificantes;01/12/2007;76.3
Brasil;Combustíveis e lubrificantes;01/01/2008;73.7
Brasil;Combustíveis e lubrificantes;01/02/2008;71.3
Brasil;Combustíveis e lubrificantes;01/03/2008;76.3
Brasil;Combustíveis e lubrificantes;01/04/2008;74.4
Brasil;Combustíveis e lubrificantes;01/05/2008;78.9
Brasil;Combustíveis e lubrificantes;01/06/2008;78.1
Brasil;Combustíveis e lubrificantes;01/07/2008;82.9
Brasil;Combustíveis e lubrificantes;01/08/2008;83.1
Brasil;Combustíveis e lubrificantes;01/09/2008;81.7
Brasil;Combustíveis e lubrificantes;01/10/2008;83.3
Brasil;Combustíveis e lubrificantes;01/11/2008;78.5
Brasil;Combustíveis e lubrificantes;01/12/2008;81.1
Brasil;Combustíveis e lubrificantes;01/01/2009;76.5
Brasil;Combustíveis e lubrificantes;01/02/2009;71.8
Brasil;Combustíveis e lubrificantes;01/03/2009;79.8
Brasil;Combustíveis e lubrificantes;01/04/2009;77.0
Brasil;Combustíveis e lubrificantes;01/05/2009;80.4
Brasil;Combustíveis e lubrificantes;01/06/2009;77.2
Brasil;Combustíveis e lubrificantes;01/07/2009;79.6
Brasil;Combustíveis e lubrificantes;01/08/2009;79.4
Brasil;Combustíveis e lubrificantes;01/09/2009;78.7
Brasil;Combustíveis e lubrificantes;01/10/2009;84.3
Brasil;Combustíveis e lubrificantes;01/11/2009;80.9
Brasil;Combustíveis e lubrificantes;01/12/2009;85.5
Brasil;Combustíveis e lubrificantes;01/01/2010;80.1
Brasil;Combustíveis e lubrificantes;01/02/2010;75.3
Brasil;Combustíveis e lubrificantes;01/03/2010;85.1
Brasil;Combustíveis e lubrificantes;01/04/2010;81.0
Brasil;Combustíveis e lubrificantes;01/05/2010;85.2
Brasil;Combustíveis e lubrificantes;01/06/2010;81.7
Brasil;Combustíveis e lubrificantes;01/07/2010;85.8
Brasil;Combustíveis e lubrificantes;01/08/2010;86.8
Brasil;Combustíveis e lubrificantes;01/09/2010;86.9
